Cate	Senti	微博原始内容
fist	ne	我不知道该说什么//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
dance	nu	广场舞难道已经跳到了世界了吗？憨豆先生都来了[酷]
fist funny	p	哈哈哈哈哈哈哈哈哈 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感…… //@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	现在已经不能叫人家憨豆先生了，得叫憨豆大爷了[钱]//@腐宅姬: 江南style+狐狸叫+倍儿饿，竟然毫无违和感!
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	哈哈哈哈哈真爱是真爱哈哈哈哈//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
dance	nu	广场舞这下有了憨豆先生的支持，不知道＋接下来会怎么样
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	hhhhhhhhhhhhhhhhh//@小野妹子学吐槽: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	p	来来来//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	MA//@小野妹子学吐槽: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	哈哈哈哈哈 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	大张伟的是歌曲界的奇葩，憨豆是演艺界的奇葩
fist	nu	憨豆先生不是已经……...[衰][衰][衰]
fist funny	p	哈哈哈哈//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	憨豆先生的节目我喜欢看[炸鸡和啤酒]
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	这是什么情况，憨豆先生，也可以自重啊
fist	nu	 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	马//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	毫无违和感 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	哈哈哈哈哈//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	什么东西23333 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	ne	no！！！请不要这么对待Mr.Bean……
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	。。。。。//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	好逗啊 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	//@小野妹子学吐槽: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	马克以后看//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist	nu	马//@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
return	nu	 //@每日新技能:憨豆真的是颜艺帝的鼻祖，卖萌的技能至今无人能get到啊！#憨豆复出# 
return	nu	#憨豆复出# 哎？为什么中国武侠片会出现一个外国老头？这画风明显不对啊！ http://t.cn/RPpQtRu  you
return	nu	#憨豆复出#英国喜剧巨星憨豆先生复出！大家怎么看 从小看憨豆，很喜欢憨豆先生，期待憨豆的新作 详情:http://t.cn/RPWKaZO
fist funny	p	 //@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
other	nu	中秋节来了，所以来个面膜搞特价，价格很优惠，欢迎大家来咨询#憨豆复出##四六级晒分##大脸女生更招人喜欢##我爱小米手机#
dance	nu	#憨豆跳广场舞# 憨豆不改搞笑本色，来华学跳广场舞 中国大妈威武，明星来了也入乡随俗了 详情:http://t.cn/RPnzpL4
return	nu	#憨豆复出# Mr.Bean回来了！当大家都以为再难见到憨豆的时候，他携手《地心引力》副导演，一起玩起中国功夫，接拍动作巨制《FIST OF BEAN》！不知道憨豆是不是喜欢上了中国功夫，但愿可以直接来中国拍戏。http://t.cn/RPpQtRu http://t.cn/RPCJDLU Leila潮流名品店
brand	p	憨豆原来就是为这个来上海的咩！！士力架的广告一个赛一个的赞
fist bean	nu	呵呵你这是在COS憨豆吗？
fist bean	nu	呵呵你这是在COS憨豆吗？
fist bean	nu	你告诉我憨豆在哪儿[拜拜]
fist bean	p	好有创意的广告，喜欢憨豆先生
fist bean	p	我觉得有了憨豆先生肯定会更加的热闹的
fist bean	p	[太开心]其实我觉得有了憨豆肯定特别的新颖//@IT程序师: [太开心]其实我觉得有了憨豆肯定特别的新颖 
fist bean	nu	憨豆是什么都参加啊！@感觉整个人都坏了 
fist bean	p	my dear Mr. bean ~[好爱哦][好爱哦][好爱哦]!//@柠檬碧翠: 很萌..
Product	nu	@Y大T急需正能量 来条士力架吧
Product	p	让我们一起见证士力架的正能量吧
Product	p	我也好想来个士力架，长长士气
purchase	nu	我好饿，能否也来个士力架呢
other	nu	天空飘来五个字：士力架在这
Product	p	看来憨豆也吃了士力架吧，拳头那么厉害
fist	nu	大家怎么都在学憨豆的饿货拳
purchase	nu	我还没有吃过士力架呢。
Product	nu	士力架好吃吗？[lt切克闹]
other	nu	得吃多少士力架才能吃饭呀。
Product	nu	还没吃过士力架呢，[打哈欠]不知道是什么味道？
Product	p	吃完士力架，简直像打了兴奋剂啊！
Product	p	饿个屁呀，去吃士力架。
fist	p	无人能敌的饿货拳[lt切克闹]
fist	p	不跳小苹果了，现在跳饿货拳
purchase	nu	饿货~来条士力架吧[酷]
other	nu	饿货们一饿起来就浑身没劲儿呢
purchase	p	真带劲儿 下次来个士力架广告棒棒的！
other	nu	不吃！辣牛肉月饼好吃吗 //@等等大白牙苏我一脸:吃！五仁月饼吃吗 //@寻玑waiting:不吃！鲜肉月饼吃吗[偷乐]//@陳偉霆_我叫洛洛:不吃！巧乐兹吃吗？//@寻玑waiting:吃！绵绵冰吃吗//@商十一丶:吃，陈均平吃吗//@陳偉霆_我叫洛洛:不吃！大师兄吃吗？//@怡然观月:吃！士力架吃吗
other	nu	不好吃！小人雪糕吃吗//@傻白甜的陈等等: 不吃！辣牛肉月饼好吃吗 //@等等大白牙苏我一脸:吃！五仁月饼吃吗 //@寻玑waiting:不吃！鲜肉月饼吃吗[偷乐]//@陳偉霆_我叫洛洛:不吃！巧乐兹吃吗？//@怡然观月:吃！士力架吃吗
purchase	p	士力架要是这么拍广告，我绝对买好嘛这各路神曲剪辑毫无违和感，看得我都饿啦，才吃完饭的好咩[拜拜]
purchase	nu	还是吃了士力架就知好不好了，赶紧去超市了
other	p	士力架这下可算是高兴了吧
Product	p	我很喜欢吃士力架的挺解饿的
brand	p	看来还是士力架最靠谱了
other	nu	男主的那句台词吗..目击者是贴纸，笑的不行 //@风凰院凶真:原来那句目击者的台词是说力士贴纸么囧//@Sola从落夜到青空:线虫www（看来是每个事件都会出现士力架标志物吧..）
brand	p	最近的士力架广告好萌！
brand	nu	e货  来条士力架[哈哈]
bean	ne	我本来很喜欢他，结果他拍了个士力架广告…啊西吧，我不认识他。
bean	p	这个暑假有憨豆先生额士力架广告陪伴哟
brand	nu	饿货，来条士力架
bean	p	你到哪里，笑声就跟到哪里[嘻嘻]2货，来根士力架吧[鼓掌][鼓掌][鼓掌]
other	nu	屎粒夹是吧，来，先干了这碗热翔再说 //@西门庆是真的爱:二货，来一车士力架吧。
funny	p	[哈哈] //@清新帅哥永远爱国安巴萨:嘿，士力架 //@小冬-动不动就一动不动-必然6下:丫可能吃了！你知道么二哥//@二哥在六上: 你还有哪么多牙？[哈哈] //@猪宝宝是猪forever:1000块够吃了//@二哥在六上:估计都不够你塞牙缝的 //@猪宝宝是猪forever:不赞不好
Product	p	[lt切克闹]这士力架真的是很好吃吗？
fist	nu	我看大妈们干脆就学憨豆先生的饿货拳算了
Product	p	好可怜的样子哟，赶紧来条士力架吧[din推撞]
purchase	nu	真是想尝一尝士力架
fist	p	这样的饿货拳还真让全民都在打。
brand	p	士力架真的是不觉明历啊。[xkl转圈]
brand	p	这家公司都爱吃士力架啊，哈哈
purchase	p	还是吃了士力架就知好不好了，赶紧去超市了
Product	p	士力架是很好吃，是我常吃的零食
Product	p	没吃时倍儿饿，吃完士力架就倍儿爽的[江南style]
purchase	nu	倍儿饿啊啊啊啊啊，我要吃士力架。
Product	p	这孩子喝了多少红牛，吃了多少士力架，嚼了多少炫迈啊[思考]
Product	p	逗逼快来条士力架冷却一下吧，这奏是你呀//@Yi_茹:求证明，，不是这样的……@薄荷爱老虚 //@是俊:哈哈哈哈明明是呆B好吗！
brand	p	真不能小看士力架
Product	p	这士力架真的是憨豆先生的超级必杀技
brand	p	让我重新认识了士力架的魅力了
purchase	nu	现在就想来一块士力架了。
Product	p	看来憨豆也吃了士力架吧，拳头那么厉害
brand	p	这士力架的广告也真够有创意的
brand	p	原来士力架人这么多人喜欢吃[炸鸡和啤酒]
fist	p	真想不到饿货拳威力这么大
Product	p	饿了为啥打饿货拳，直接上士力架呗。
brand	nu	这士力架你的广告搞成这样，叫人说什么好。
fist	p	这样的饿货拳简直就是大妈的最爱
purchase	nu	我也要吃士力架了
fist	nu	我看大妈们干脆就学憨豆先生的饿货拳算了
fist	p	饿货就要学憨豆吃士力架 。@远离执着远离固执远离分别心
other	nu	//@梅林核桃王:雷总：二货，来条士力架吧！自如：喵～～
other	nu	二貨，來條士力架吧！[哈哈][哈哈]//@rr超级爱GEM呢:就是这么[耶]
other	nu	我们祝福都没有[泪] //@猴山CEO:@周小lui儿 真的呀？ //@北京人捍卫北京城:＂你怎么连门都守不住？＂＂你行你来呀！＂＂饿货，来条士力架！＂
other	nu	要珍惜还有的发！！！！！！//@猴山CEO: @周小lui儿 真的呀？ //@北京人捍卫北京城:＂你怎么连门都守不住？＂＂你行你来呀！＂＂饿货，来条士力架！＂
other	nu	是例假 //@紅紅火火恍恍惚惚小御波:士力架
Product	nu	花生焦糖巧克力…是例假 //@巫小苏-专业1miss国民学姐:右面这个orz //@PlanB_Treekie:是例假 //@紅紅火火恍恍惚惚小御波:士力架
brand	nu	大家看来都对士力架很熟啊，我觉得也是士力架
brand	nu	士力架
brand	nu	士力架
brand	ne	士力架的广告就是喜欢丑恶中国人[哈哈]@士力架中国
brand	nu	士力架[馋嘴]
brand	nu	饿货！！只剩士力架了！
brand	nu	当然是~士力架
brand	nu	士力架[兔子]
brand	nu	士力架广告
brand	nu	士力架广告
brand	nu	士力架广告！@天猫 
brand	nu	士力架广告
Product	nu	[加油啊]横扫饥饿 是例假！噢，不对。。士力架
brand	nu	士力架广告
brand	nu	士力架
brand	nu	是士力架广告！
brand	nu	可以是士力架广告
brand	nu	士力架！
brand	nu	是士力架广告
brand	nu	可以是士力架广告
brand	nu	是士力架广告～
brand	nu	应该是士力架？
brand	nu	士力架~~~
fist funny	p	这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	@氧气_THG48 //@花样作死选手_芯蘑菇菌:噗 //@十万个冷笑话官:看完这种神经病视频居然有种吃了士力架一样的热血的感受是怎么回事啊！
fist funny	p	//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	无言以对……@懒惰之贝利亚  //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	马 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	 @窝也要换一个深井冰的名字就这样 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	哈哈哈//@十万个冷笑话官:看完这种神经病视频居然有种吃了士力架一样的热血的感受是怎么回事啊！
fist funny	p	士力架的广告都挺有趣的 //@小野妹子学吐槽:网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来竟毫无违和感……//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了迷样的补给也是够了
fist funny	p	@Dreamcatcher_璐思 //@虐狗狂人巴普洛夫: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来尽然毫无违和感//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！憨豆先生有了士力架这样的迷样的补给也是够了
fist funny	p	我擦！声音太洗脑了 //@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	up主你过来 我有一根//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	哈哈哈哈什么鬼 //@HZY_XIE://@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	哈哈哈 //@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@十万个冷笑话官:看完这种神经病视频居然有种吃了士力架一样的热血的感受是怎么回事啊！
fist funny	p	想玩啊……//@十万个冷笑话官: 看完这种神经病视频居然有种吃了士力架一样的热血的感受是怎么回事啊！
fist funny	p	哈哈哈哈哈哈哈//@我做了什么让你产生了这种错觉: //@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	 //@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	。//@十万个冷笑话官: 看完这种神经病视频居然有种吃了士力架一样的热血的感受是怎么回事啊！
fist funny	p	wow doge //@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	高完成度hhhh //@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了 //@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	 //@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@沐伍柒: //@唐初霁://@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	哈哈哈哈哈哈烦//@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	哈哈//@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	爱的深沉//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	@Hyperin 拿去看 //@虐猫狂人薛定谔:你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	 哈哈哈哈哈//@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	 //@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
other	p	PO主你出来咱们聊聊人生！//@我的朋友是个呆B: 这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	马//@我的朋友是个呆B:这都是什么哈哈哈哈哈哈哈哈哈，不带这么玩儿的啊，我觉得士力架的饿货拳的本体已经够洗脑了
fist funny	p	这都什么//@虐狗狂人巴普洛夫: 网友对憨豆先生还真是爱的深沉啊，这种鬼畜的视频做出来尽然毫无违和感//@虐猫狂人薛定谔: 你们这些神经病为什么要给我看这种东西！！哈哈哈哈哈憨豆先生有了士力架这样的迷样的补给也是够了//@我的朋友是个呆B:
brand	p	太好了！我真觉得广告没必要跟风找明星拍，看士力架的广告拍得多好！！每次都想看
other	nu	可怕。。。。@贤儿sherry 贤哥大法号，保佑我开葫芦出玄晶//@华乾-十恶不赦:太好了。。。一看德芙广告就心塞。。。不说金沈阳恶心，士力架风格的邓紫棋都让人有点讨厌//@法大查查查: //@优子_把真琴抱在怀里:！！ //@神隐的某暖:……//@逆光Alice:干的好
other	nu	士力架嘛
tf	nu	不找小凯代言么[思考][思考] //@士力架中国:小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
tf	nu	回复@士力架中国:maya好萌//@士力架中国:回复@大德就是大德:( -)我是一只机智的巧克力//@士力架中国:小伙子赶通告也是挺心疼的，还好吃了士力架，妈妈再也不用担心小凯的体力了~
fist funny	p	哈哈哈哈哈哈哈哈饿了就吃士力架啊[拜拜][拜拜]//@william等等我啊://@闲蛋吱waiting:#陈伟霆# 等哥肯定是饿了哈哈哈哈哈哈//@等等有只草鸡萌萱://@等等重症患者:哈哈哈哈哈//@William家的AC:#陈伟霆# 寿司藏红2333333！！！！！[拜拜][拜拜]
Product	p	快！来条士力架吧～ 嗯！来劲了！
tf	ne	不吃士力架[拜拜]
tf	nu	嗯，小凯多喝牛奶，多吃士力架，多吃核桃//@他春夏: 微姐你今天肿么了
fist learn	p	[太开心]大家一起来学饿货拳吧，超厉害。
brand	p	[偷笑]士力架不火，对不起坚持看完视频的观众的耐心。
purchase	p	现在就想来一块士力架了。
Product	p	[挤眼]饿了就来一根士力架吧！
Product	p	要想不饿，[亲亲]准备点士力架是很有必要滴。
brand	nu	原来盒子里放的是士力架
other	nu	看到饿货的样子，我也饿了！
brand	nu	这个难道是给士力架做的广告吗
other	p	是开会都有士力架，一定很爽。
brand	p	[偷乐]士力架的创意广告。看着都会赶脚倍爽的。
Product	p	看样子，玩游戏还得吃士力架才能充满力量。
fist	p	无人能敌的饿货拳[lt切克闹]
fist learn	p	全民饿货拳的行为，真的是影响到我了。
brand	p	士力架真的是不觉明历啊。[xkl转圈]
fist learn	p	[呵呵]跟着憨豆先生，咱也去广场秀下饿货拳。
fist	nu	这么憨豆的饿货拳用来决斗真是厉害呢！
